Baseline - Traditional CDN-based System,,,,,NovaGenesis - Named Content Distribution,,,
Image,Size (Bytes),Data Transfer Rate (KB/s),Transfer Time (s),,Image,Size (Bytes),Data Transfer Rate (KB/s),Transfer Time (s)
0,"5,870","11,400",0.5149,,0,"5,870",10707.76001,0.548200557
1,"5,890","11,400",0.5167,,1,"5,890",11228.98311,0.524535476
2,"5,830","11,300",0.5159,,2,"5,830",11095.57557,0.525434662
3,"5,910","11,500",0.5139,,3,"5,910",11203.18709,0.527528457
4,"5,860","11,300",0.5186,,4,"5,860",11091.13525,0.528349882
5,"5,840","11,300",0.5168,,5,"5,840",11035.69392,0.529191915
6,"5,840","11,300",0.5168,,6,"5,840",11020.15846,0.529937933
7,"5,850","11,300",0.5177,,7,"5,850",11052.08613,0.529311836
8,"5,880","11,400",0.5158,,8,"5,880",11097.84046,0.52983281
9,"5,830","11,300",0.5159,,9,"5,830",11273.48227,0.517142783
10,"5,860","11,300",0.5186,,10,"5,860",11280.96997,0.519458878
11,"5,870","11,300",0.5195,,11,"5,870",11306.99815,0.519147516
12,"5,840","11,300",0.5168,,12,"5,840",11229.75769,0.52004684
13,"5,850","11,400",0.5132,,13,"5,850",11211.92319,0.521765972
14,"5,880","11,300",0.5204,,14,"5,880",11260.19287,0.522193542
15,"5,830","11,300",0.5159,,15,"5,830",11120.39521,0.524261943
16,"5,850","11,200",0.5223,,16,"5,850",11135.40716,0.525351244
17,"5,820","11,300",0.515,,17,"5,820",11033.53528,0.527482792
18,"5,870","11,400",0.5149,,18,"5,870",11138.27708,0.52701149
19,"5,880","11,400",0.5158,,19,"5,880",11142.38472,0.527714681
20,"5,850","11,700",0.5,,20,"5,850",10929.29849,0.535258508
21,"5,800","11,600",0.5,,21,"5,800",10812.13268,0.536434409
22,"5,880","11,400",0.5158,,22,"5,880",10917.85905,0.538567129
23,"5,840","11,300",0.5168,,23,"5,840",10826.82054,0.539401201
24,"5,850","11,300",0.5177,,24,"5,850",10846.62778,0.539338135
25,"5,830","11,100",0.5252,,25,"5,830",10796.67858,0.53998088
26,"5,900","11,400",0.5175,,26,"5,900",10870.85392,0.542735653
27,"5,870","11,300",0.5195,,27,"5,870",10822.01278,0.542412961
